Swakeleys School for Girls,2.062625455061328574016810596005424865404249371961
Weeting Church of England Primary School,1.6511422720425810745944145181493264358089922002639
Batley Grammar School,1.5660094777913387328637909752109933769961305205078
Marine Academy Plymouth,2.2236302280172673293611171567862735102322322788121
St Mary's Church of England Academy,1.6511422720425810745944145181493264358089922002639
Rossington All Saints Academy,2.1916334819759636779197474101969986776103284934588
Richard Challoner School,2.062625455061328574016810596005424865404249371961
The Bulwell Academy,2.2476883061709138834986257561468824320054949706748
Preston School Academy,1.529166876087348812885919810358695965156854803008
Tidemill Academy,2.28671768317162037713443760913710060618134048027
Hall Mead School,2.28671768317162037713443760913710060618134048027
Our Lady of Mount Carmel Catholic First School,1.4875152169855491346389607512147495659300747007926
St Joseph's Catholic Primary School,1.6325644466108706728435737630099394283236789369079
Oxford Spires Academy,2.1349323164718010376425138428951160652438690897563
CTC Kingshurst Academy,2.1647422872163881154259429013464701355292030830141
Glemsford Primary Academy,1.5992869622011047028536823691104664026599047287078
The Campion School,2.0328154843167414962333815375540707951189153787032
Great Smeaton Academy Primary School,2.1560302093490228539971861535908947300488936828316
St John's Church of England Primary School,1.5720992735576108096814005168128405574255053280701
St Augustine's Catholic College,2.1016548320620350676526224489956430395800948815562
High Littleton CofE VC Primary School,1.5633871956902455482526437690572651519451959278876
Felixstowe Academy,2.1147772587877099866646740969984335615634114133606
Great Malvern Primary School,1.6853625916454778099611384768478956225973333251435
The Holt School,2.0328154843167414962333815375540707951189153787032
St Boniface's RC College,2.2569077124270332993510085506857465358960064870122
Minehead Middle School,1.5589768468319358906693488688100500354421887962658
St Mary's Catholic Primary School,2.0757478817870034930288622440082153873875659037653
"The Norman Church of England Primary School, Northwold",1.7497915905324617237970844880422527505555056963748
St Clement Danes School,2.1016548320620350676526224489956430395800948815562
Holy Cross Catholic Primary School,1.5589768468319358906693488688100500354421887962658
Fairfield High School for Girls,2.0398481152761443384278236439550141366728571029451
David Livingstone Academy,1.7830690749422276937869758819417257762192799045748
The Cotswold Academy,1.529166876087348812885919810358695965156854803008
St James' CofE Academy,1.6645611926521743242849435095992142609455827222612
King Edward VI Camp Hill School for Boys,2.0328154843167414962333815375540707951189153787032
Ash Hill Academy,2.2188211706194575710920292624946245228447278940965
St Mary's Catholic Voluntary Primary Academy,1.6121128950418745809586026651591082616331466906686
The Chantry School,1.5660094777913387328637909752109933769961305205078
Cobholm Primary Academy,1.8163465593519936637768672758411988018830541127749
South Craven School,1.529166876087348812885919810358695965156854803008
Notley High School and Braintree Sixth Form,2.0660929687265074662232729314535438207826895869032
Ryburn Valley High School,2.0328154843167414962333815375540707951189153787032
Montsaye Academy,2.1314648028066221454360515074469971098654288748141
Brunel Primary & Nursery Academy,0.95667892011266255811921717172174889073361472445972
The West Grantham Academy St John's,1.7830690749422276937869758819417257762192799045748
The Blue School,1.5361995070467516550803619167596393067107965272499
Our Lady and St Patrick's Roman Catholic Primary School,1.5361995070467516550803619167596393067107965272499
Field Court Junior School,1.56947699145651762507025331065911233237457073545
Charlton Kings Junior School,1.598006223832642384305160721800268209618034305861
Castle Hill Infant School,1.7199816197878746460136554295908986802701717031169
Colchester Academy,2.3388694868980017897823011101301093023405025216696
London Academy,2.1445872295322970644481031554497876318487454066184
Holbrook Academy,1.6278161945772294620885897802516222799033682991189
Pinewood School,3.0320888987233477877477363247118108863470765424073
St Joseph's Catholic Primary School,1.5422893028130237318979714583614864871401713348123
Queen Elizabeth's Grammar School,2.1147772587877099866646740969984335615634114133606
Plumberow Primary Academy,1.529166876087348812885919810358695965156854803008
South Farnham School,1.529166876087348812885919810358695965156854803008
Oasis Academy Lord's Hill,2.3555570309169139485536785205786728506425199831231
Henleaze Junior School,1.529166876087348812885919810358695965156854803008
Mexborough Academy,2.3388694868980017897823011101301093023405025216696
The Roseland Academy,1.5922543312417018606592402627095230611059630044659
William Farr CofE Comprehensive School,2.154790880271973757941876245344701265771052775959
St Michael's Church of England High School,2.2236302280172673293611171567862735102322322788121
John Port School,1.5422893028130237318979714583614864871401713348123
Burnley Road Academy,1.6191455260012774231530447715600516031870884149106
St Peter and St Paul Catholic Primary School,1.5720992735576108096814005168128405574255053280701
Prince Henry's High School,2.1016548320620350676526224489956430395800948815562
Hele's Trust,2.0660929687265074662232729314535438207826895869032
Sheffield Springs Academy,2.1314648028066221454360515074469971098654288748141
BRIT School for Performing Arts and Technology,2.2924695757625609007803580682278457546934117816652
The English Martyrs School and Sixth Form College,2.0328154843167414962333815375540707951189153787032
Wedmore First School Academy,1.6809522427871681523778435766006805060943261935217
Lord Scudamore Primary Academy,1.5589768468319358906693488688100500354421887962658
"Ninestiles, an Academy",2.1445872295322970644481031554497876318487454066184
Fosse Way School,2.8803035320235284482558125584698263454096051518936
Wednesfield High Specialist Engineering Academy,2.0792153954521823852353245794563343427660061187075
Christ The King Catholic Primary School,2.2178783354263268057151966976955283617201609774169
Uffculme School,2.0398481152761443384278236439550141366728571029451
Meadow Primary School,1.529166876087348812885919810358695965156854803008
Sharnbrook Academy,2.0924354258059156518002396544567789356895833652188
Watford Grammar School for Boys,2.0328154843167414962333815375540707951189153787032
St Meriadoc CofE Infant Academy,1.6809522427871681523778435766006805060943261935217
Middleton Primary School,1.6809522427871681523778435766006805060943261935217
Holy Family Catholic Primary School,1.7142297271969341223677349705001535317581004017217
The Crompton House Church of England Academy,2.069658086020731416211252702406368206958191096203
St Clere's School,2.154790880271973757941876245344701265771052775959
Westwood Academy,1.7199816197878746460136554295908986802701717031169
